作品ID,作品名,人物ID
531,あやかしの鼓,96
45470,二筋の血,153
4312,内田百間氏,879
49952,甘鯛の姿焼き,1403
2709,蒲生氏郷,51
50556,すみだ川,1341
796,写生文,148
4695,鳥影,153
4680,夏の花,293
53194,はつ恋,5
4464,秋田街道,81
1409,忘れえぬ人々,38
50011,料理メモ,1403
1128,「ケルトの薄明」より,1085
1298,中国怪奇小説集,82
243,眉山,35
4672,点頭録,148
51512,おっぱい,1475
262,恥,35
1057,春の鳥,38
768,自転車日記,148
55990,日本その日その日,1380
447,老妓抄,76
52353,海豹と雲,106
56650,Ｄ坂の殺人事件,1779
357,外套,207
784,三山居士,148
53195,黒田如水,1562
47552,桜の樹の下には,74
43260,流言蜚語,42
2106,人間腸詰,96
501,忠直卿行状記,83
42616,風博士,1095
51377,海援隊約規,908
1005,半七捕物帳,82
825,大日本帝国憲法,1528
678,かのように,129
46080,春雪,1224
42921,反スタイルの記,1095
46860,レ・ミゼラブル,906
44423,もみの木,19
4723,飴だま,121
2655,シグナルとシグナレス,81
116,おぎん,879
126,お富の貞操,879
932,オシャベリ姫,968
932,オシャベリ姫,96
2254,嘘,35
49202,「ああしんど」,1351
75,袈裟と盛遠,879
757,道楽と職業,148
3244,海神別荘,50
268,火の鳥,35
246,畜犬談,35
2405,旗本移転後の始末,354
244,チャンス,35
51005,赤いろうそくと人魚,1475
2507,小爆発二件,42
53241,抒情小曲集,1579
45864,ラムネ氏のこと,1095
777,京に着ける夕,148
694,うたかたの記,129
4820,神曲,961
241,美男子と煙草,35
3827,或社会主義者,879
52919,地球儀,183
54975,納豆の茶漬け,1403
2086,恋衣,351
2086,恋衣,318
2086,恋衣,885
50003,鮪の茶漬け,1403
2656,ざしき童子のはなし,81
46288,教育の目的,718
282,家庭の幸福,35
525,神社合祀に関する意見,93
46996,イーリアス,1099
2675,余と万年筆,148
295,メリイクリスマス,35
2657,ありときのこ,81
43203,明治開化　安吾捕物,1095
43623,「味の素」発明の動機,1160
4253,赤とんぼ,121
2671,『吾輩は猫である』中篇自序,148
814,時代閉塞の現状,153
4436,土神と狐,81
53810,日本の伝説,1566
2449,電車の混雑について,42
2272,水仙,35
42302,世界怪談名作集,914
43533,虫喰い算大会,160
43533,虫喰い算大会,1159
42929,白銀の失踪,9
1790,宿命,67
1116,四又の百合,81
64,影,879
50422,三太郎の日記　第一,1421
42366,自作を語る,35
176,運,879
9,暁と夕の詩,11
43619,ベースボール,305
52411,三国志,1562
233,デンマルク国の話,34
2295,渡り鳥,35
3216,デカルト哲学について,182
47052,天衣無縫,40
57574,青べか物語,1869
3411,華々しき一族,827
937,青水仙、赤水仙,966
937,青水仙、赤水仙,96
42753,読書子に寄す,1119
43471,世界怪談名作集,9
1047,竹青,35
49953,鮎の食い方,1403
52468,雪,1569
5018,源氏物語,52
46597,青森,35
4920,科学の不思議,1049
4556,桜,76
50659,長崎の鐘,924
4601,フランドン農学校の豚,81
51156,いちょうの実,81
1711,道徳の観念,281
59966,亀がアキレスに言ったこと,1734
55606,心を養う,1734
57347,老人と海,1734
42610,死刑囚最後の日,1094
497,蘭学事始,83
45241,処女の純潔を論ず,157
46190,黙々静観,354
471,疾中,81
3762,大正十二年九月一日の大震に際して,879
348,文七元結,989
4812,美しい村,1030
42384,野のはくちょう,19
50926,魏志倭人伝,1477
53012,性に眼覚める頃,1579
1126,三つの宝,879
50328,相対性理論,1429
1943,風野又三郎,81
47675,裸女の画,726
4331,努力論,51
1031,女仙,879
43498,グロリア・スコット号,9
52448,大谷刑部,1562
52182,断腸亭日乗,1341
42601,レ・ミゼラブル,1094
42876,パンパンガール,1095
1368,応仁の乱,83
4773,沙漠の花,293
669,オリンポスの果実,126
42752,時と永遠,1011
52403,鳴門秘帖,1562
43466,高野聖,50
43466,高野聖,886
3646,こがね丸,981
202,或る女,25
52422,私本太平記,1562
52434,随筆　宮本武蔵,1562
51865,軍艦金剛航海記,879
781,満韓ところどころ,148
43497,株式仲買店々員,9
56646,心理試験,1779
865,十八時の音楽浴,160
47858,入れ札,83
52397,宮本武蔵,1562
43572,明治開化　安吾捕物帖,1095
1562,朝,35
42755,雲,136
350,真景累ヶ淵,989
49864,断食芸人,1235
4324,死刑の前,261
43028,黄色な顔,9
134,竜,879
52398,宮本武蔵,1562
49990,日本料理の基礎観念,1403
620,名人伝,119
2158,頭ならびに腹,168
265,犯人,35
47486,キャラコさん,1224
52505,山の人生,1566
53011,或る少女の死まで,1579
324,非凡なる凡人,38
53809,こども風土記,1566
1991,乳房,311
315,ろまん灯籠,35
2672,『吾輩は猫である』下篇自序,148
42909,私は海をだきしめてゐたい,1095
47985,俳人蕪村,305
51860,かもめ,1155
2228,聖徳太子,284
52359,つゆのあとさき,1341
42604,レ・ミゼラブル,1094
52399,宮本武蔵,1562
56651,パノラマ島綺譚,1779
42602,レ・ミゼラブル,1094
49672,裸体談義,1341
52420,三国志,1562
43760,鹿踊りのはじまり,81
1573,雪の夜の話,35
47042,キリストのヨルカに召された少年,363
2536,十二支考,93
106,葱,879
701,六白金星,40
46577,散歩生活,26
195,可哀相な姉,20
52415,三国志,1562
52412,三国志,1562
52402,宮本武蔵,1562
52416,三国志,1562
49675,猥褻独問答,1341
4806,大和路・信濃路,1030
300,彼は昔の彼ならず,35
52419,三国志,1562
57856,二十四の瞳,1875
45716,ピエロ伝道者,1095
45225,文づかひ,129
52423,私本太平記,1562
1085,おきなぐさ,81
618,狐憑,119
49961,美味い豆腐の話,1403
1509,家,158
2069,鱷,363
45988,柳原燁子（白蓮）,726
4892,亡国に至るを知らざれば之即ち亡国の儀に付質問,649
42617,肝臓先生,1095
42267,ピタゴラスと豆,42
474,日本国憲法,1528
46527,三人の師,355
1342,易と手相,83
43258,マーカス・ショーとレビュー式教育,42
47024,非暴力,1277
144,仙人,879
52414,三国志,1562
52417,三国志,1562
1605,徒党について,35
49963,お米の話,1403
397,淫売婦,31
4279,恋愛と夫婦愛とを混同しては不可ぬ,879
49776,浮標,1311
46579,我が生活,26
2589,ビジテリアン大祭,81
52418,三国志,1562
174,馬の脚,879
52400,宮本武蔵,1562
1792,僕の孤独癖について,67
45473,みじかい木ぺん,81
5071,源氏物語,52
638,牛をつないだ椿の木,121
42837,アンゴウ,1095
4671,震災日記より,42
48226,遺篇,1320
49646,十六、七のころ,1341
3199,平将門,51
1930,水仙月の四日,81
52435,随筆　私本太平記,1562
1320,人外魔境,125
57471,竜潭譚,50
43634,人柱の話,93
52413,三国志,1562
49890,孔子,1395
2526,早すぎる埋葬,94
42894,女体,1095
763,変な音,148
49763,冒した者,1311
3554,油絵新技法,259
43735,『注文の多い料理店』序,81
480,玉藻の前,82
323,牛肉と馬鈴薯,38
43179,安吾巷談,1095
18337,金太郎,329
54903,家を持つといふこと,1566
42810,支那人間に於ける食人肉の風習,372
1753,うた時計,121
1029,藍色の蟇,190
1386,小説家たらんとする青年に与う,83
52452,柳生月影抄,1562
1452,運命,51
54972,すき焼きと鴨料理――洋食雑感――,1403
56641,刺青,1383
238,老ハイデルベルヒ,35
46196,二・二六事件に就て,506
5021,源氏物語,52
165,二つの手紙,879
55797,測量船,1749
57190,日記帳,1779
2377,縊死体,96
49959,鰻の話,1403
43524,入院患者,9
42966,握った手,1095
42357,「グッド・バイ」作者の言葉,35
50535,如何に読書すべきか,218
53013,幼年時代,1579
42924,家なき子,1047
732,青春の逆説,40
49271,妖怪研究,1021
863,海に生くる人々,31
57105,赤いカブトムシ,1779
46166,地上,595
4970,幾度目かの最期,1052
44914,四国遍路日記,146
4467,電車,81
42938,孔乙己,1124
52401,宮本武蔵,1562
666,白蟻,125
91,首が落ちた話,879
1814,風琴と魚の町,291
316,ロマネスク,35
271,HUMAN LOST,35
1598,一問一答,35
2098,眼を開く,96
57240,悪魔の紋章,1779
53217,天災は忘れた頃来る,1569
52212,福沢諭吉,1541
731,聖三稜玻璃,136
3436,石を投ぐるもの,311
2144,能とは何か,96
306,おしゃれ童子,35
52318,ああ東京は食い倒れ,1558
2590,愛と認識との出発,256
43080,凍雨と雨氷,42
1698,縮図,23
43523,自転車嬢の危難,9
159,俊寛,879
1255,海野十三敗戦日記,160
2718,恐竜島,160
2658,虹の絵の具皿,81
47728,東京の風俗,1312
2577,怪談牡丹灯籠,989
52181,断腸亭日乗,1341
5049,源氏物語,52
429,城のある町にて,74
2679,文士の生活,148
80,煙管,879
43077,地震雑感,42
47067,水晶の栓,1121
42697,研究的態度の養成,42
1323,海島冒険奇譚　海底軍艦,77
48969,アカシヤの花,214
48969,アカシヤの花,1416
2364,数学と語学,42
52424,私本太平記,1562
1101,俊寛,83
43207,明治開化　安吾捕物,1095
13203,久坂葉子の誕生と死亡,1052
56041,たけくらべ,64
52433,私本太平記,1562
4689,『心』広告文,148
3325,「女らしさ」とは何か,885
4802,聖家族,1030
5023,源氏物語,52
3265,カール・マルクスとその夫人,311
48282,南洲手抄言志録,354
50907,回顧と展望,1398
630,花のき村と盗人たち,121
42603,レ・ミゼラブル,1094
1442,雲のいろ／＼,51
42816,阿部定という女,1095
42305,世界怪談名作集,1088
45271,夏目漱石論,129
49867,流刑地で,1235
42567,台湾の姿態,906
24441,鏡花氏の文章,119
5022,源氏物語,52
46861,レ・ミゼラブル,906
45255,普請中,129
2500,災難雑考,42
45472,イーハトーボ農学校の春,81
46148,金狼,1224
47,雛,879
377,国語音韻の変遷,61
52206,麺くひ,1536
310,フォスフォレッスセンス,35
108,鼠小僧次郎吉,879
51034,野ばら,1475
52425,私本太平記,1562
4910,身毒丸,933
1273,自叙伝,169
43212,明治開化　安吾捕物,1095
24355,幸福の彼方,291
2677,私の経過した学生時代,148
1130,ピアノ,879
33190,獄中への手紙,311
54866,黒板は何処から来たのか,1570
46076,魔都,1224
4391,静岡地震被害見学記,42
2076,病院横町の殺人犯,94
1341,ある抗議書,83
46720,お金とピストル,967
46720,お金とピストル,96
2316,兵隊の死,20
1355,姉川合戦,83
52446,脚,1562
4388,死者の書,933
52426,私本太平記,1562
2524,メールストロムの旋渦,94
674,ぢいさんばあさん,129
4194,蔦の門,76
42948,選挙殺人事件,1095
51381,手紙,908
901,余が言文一致の由来,6
43137,太宰治情死考,1095
49273,妖怪談,1021
51220,湖畔手記,984
42817,感想家の生れでるために,1095
52449,鬼,1562
18411,大嘗祭の本義,933
391,わかれ道,64
2346,化け物の進化,42
54905,どら猫観察記,1566
7,赤蛙,8
52931,日本改造法案大綱,89
1556,滝口入道,271
1366,大阪夏之陣,83
2100,暗黒公使,96
827,どんぐり,42
454,毒もみのすきな署長さん,81
43205,明治開化　安吾捕物,1095
54408,金の輪,1475
4889,直訴状,649
54931,ベートーヴェンの生涯,1093
50899,上海,168
2699,テガミ,156
42824,帝銀事件を論ず,1095
33197,探偵夜話,82
4876,街の底,168
2588,支那人の妥協性と猜疑心,372
53812,年中行事覚書,1566
48577,ストリップ修学旅行,1293
1138,鴉片,879
55262,美しい日本の歴史,1562
53204,サラダの謎,1569
52427,私本太平記,1562
1151,聖書,227
52380,お伽草紙,35
47945,殺意（ストリップショウ）,1311
49269,妖怪学,1021
921,怪夢,96
239,兄たち,35
18383,鎮西八郎,329
52188,雑器の美,1520
42873,散る日本,1095
52959,失うた帳面を記憶力で書き復した人,93
52428,私本太平記,1562
1119,思い出の記,224
45256,文づかい,129
1343,我が馬券哲学,83
43120,灰だらけ姫,1134
4681,『それから』予告,148
43208,明治開化　安吾捕物,1095
1872,法窓夜話,301
43603,博物誌,1156
47098,新たに法学部に入学された諸君へ,922
49329,暗黒星,1364
4427,二十六夜,81
305,おさん,35
24454,藪の中,879
18351,「晩年」と「女生徒」,35
1326,わが町,40
18333,デイモンとピシアス,107
889,萱草に寄す,11
83,孤独地獄,879
52429,私本太平記,1562
42362,田舎者,35
46443,コロボックル風俗考,1242
43270,貞操問答,83
289,虚構の春,35
291,饗応夫人,35
2479,コーヒー哲学序説,42
18361,ベーシック英語,1065
52350,辛夷の花,1030
42233,天地有情,1081
53182,三人の百姓,1584
43757,水仙月の四日,81
52964,ある夜の星たちの話,1475
4288,日本天変地異記,154
185,さまよえる猶太人,879
2571,アンドロギュノスの裔,20
53047,罪・苦痛・希望・及び真実の道についての考察,1235
45791,〔翻訳〕ステファヌ・マラルメ,1217
52368,熟語本位英和中辞典,564
52430,私本太平記,1562
47343,肉食之説,296
2278,善蔵を思う,35
43199,我が人生観,1095
43030,じいさんばあさん,129
49985,雑煮,1403
4920,科学の不思議,416
55189,心の故郷,1581
43206,明治開化　安吾捕物,1095
1365,鳥羽伏見の戦,83
527,十二支考,93
46559,結婚と恋愛,416
55131,秋風,1695
46562,子供の保護,416
1293,半七捕物帳,82
24443,かめれおん日記,119
56072,大岡越前,1562
2141,父杉山茂丸を語る,96
46560,少数と多数,416
43733,『注文の多い料理店』広告文,81
1771,日清戦争異聞,67
52432,私本太平記,1562
49756,慶応義塾学生諸氏に告ぐ,296
48234,赤い壺,146
49999,美味放談,1403
3615,牛鍋,129
4359,変った話,42
510,古代国語の音韻に就いて,61
42904,続戦争と一人の女,1095
54939,明石鯛に優る朝鮮の鯛,1403
42841,敬語論,1095
47418,監獄部屋,1305
3751,永久に不愉快な二重生活,879
4313,小説作法十則,879
54370,断腸亭日乗,1341
52332,富士屋ホテル,1558
2117,二重心臓,96
46289,二千六百年史抄,83
46105,だいこん,1224
828,ちるちる・みちる,136
2543,雪渡り,81
120,女,879
49988,鍋料理の話,1403
46563,死んだ魂,416
2075,うづしほ,94
46946,親鸞,218
47944,歩くこと,1311
1358,桶狭間合戦,83
2059,十三時,94
385,一円本流行の害毒と其裏面談,63
1256,海底大陸,160
46561,婦人解放の悲劇,416
47041,幕末維新懐古談,270
50014,アメリカの牛豚,1403
43001,吹雪物語,1095
52945,野草雑記・野鳥雑記,1566
1871,落穴と振子,94
48312,墨子,51
47028,春と修羅　第三集,81
46576,昭和遊撃隊,748
1708,謀叛論（草稿）,280
47740,子規居士と余,1310
1601,わが半生を語る,35
4949,おいてけ堀,154
49373,迷信解,1021
42360,新しい形の個人主義,35
48284,南洲手抄言志録,1331
49977,材料か料理か,1403
48284,南洲手抄言志録,1332
43257,徒然草の鑑賞,42
