作品ID,作品名,人物ID
773,こころ,148
45630,〔雨ニモマケズ〕,81
1567,走れメロス,35
789,吾輩は猫である,148
624,山月記,119
301,人間失格,35
2093,ドグラ・マグラ,96
127,羅生門,879
752,坊っちゃん,148
456,銀河鉄道の夜,81
92,蜘蛛の糸,879
799,夢十夜,148
776,草枕,148
43754,注文の多い料理店,81
46605,やまなし,81
975,方丈記,196
424,檸檬,74
47061,学問のすすめ,296
1465,蟹工船,156
228,セメント樽の中の手紙,31
1058,『春と修羅』,81
42,鼻,879
2078,舞姫,129
637,手袋を買いに,121
43837,ある自殺者の手記,1162
47074,親ごころ,1162
46405,寡婦,1162
43651,狂女,1162
47076,狂人日記,1162
43652,墓,1162
43866,初雪,1162
46669,智恵子抄,1168
691,高瀬舟,129
427,桜の樹の下には,74
628,ごん狐,121
1565,斜陽,35
816,一握の砂,153
794,三四郎,148
4276,谷崎潤一郎氏,879
832,土佐日記,155
100,桃太郎,879
179,藪の中,879
42618,桜の森の満開の下,1095
275,女生徒,35
466,オツベルと象,81
470,セロ弾きのゴーシュ,81
462,風の又三郎,81
42620,堕落論,1095
277,駈込み訴え,35
2253,ヴィヨンの妻,35
43016,トロッコ,879
43873,戦争責任者の問題,231
859,月に吠える,67
473,よだかの星,81
4803,風立ちぬ,1030
894,山羊の歌,26
170,杜子春,879
60,地獄変,879
4328,クリスマス・カロル,914
43037,あたらしい憲法のはなし,1128
52504,遠野物語,1566
49866,変身,1235
695,ヰタ・セクスアリス,129
46268,星めぐりの歌,81
935,少女地獄,96
1924,グスコーブドリの伝記,81
49719,地球儀,183
2381,瓶詰地獄,96
270,富嶽百景,35
389,たけくらべ,64
42308,白雪姫,1092
42308,白雪姫,1091
42309,ラプンツェル,1092
42309,ラプンツェル,1091
42939,故郷,1124
621,名人伝,119
307,お伽草紙,35
1746,それから,148
1317,黒死館殺人事件,125
69,河童,879
42387,雪の女王,19
530,黒猫,94
772,私の個人主義,148
43737,銀河鉄道の夜,81
4673,ガリバー旅行記,912
1502,破戒,158
761,虞美人草,148
1669,蒲団,214
16034,遺書,879
45340,暗号舞踏人の謎,9
1504,夜明け前,158
14,あばばばば,879
56648,人間椅子,1779
33205,ジーキル博士とハイド氏の怪事件,888
19,或阿呆の一生,879
647,野菊の墓,58
45761,河童,879
18376,桃太郎,329
472,やまなし,81
98,蜜柑,879
42311,赤ずきんちゃん,1092
42311,赤ずきんちゃん,1091
55,芋粥,879
128,羅生門,879
522,金色夜叉,91
258,グッド・バイ,35
45245,高瀬舟,129
1607,川端康成へ,35
42286,カラマゾフの兄弟,363
211,一房の葡萄,25
308,桜桃,35
4254,船中八策,908
42621,白痴,1095
51732,古事記,1518
51732,古事記,1519
2282,津軽,35
1566,パンドラの匣,35
682,舞姫,129
42315,ヘンゼルとグレーテル,1092
42315,ヘンゼルとグレーテル,1091
2285,トカトントン,35
2359,科学者とあたま,42
5016,源氏物語,52
689,山椒大夫,129
42934,阿Ｑ正伝,1124
219,在りし日の歌,26
1949,ツェねずみ,81
521,高野聖,50
158,侏儒の言葉,879
45679,雪渡り,81
393,「いき」の構造,65
1530,古事記物語,107
974,尾崎放哉選句集,195
329,武蔵野,38
46845,人生論ノート,218
1869,浮雲,6
496,恩讐の彼方に,83
4311,クラリモンド,879
43752,どんぐりと山猫,81
1939,なめとこ山の熊,81
42378,赤いくつ,19
635,おじいさんのランプ,121
1154,最終戦争論,230
18335,ねずみの嫁入り,329
1128,「ケルトの薄明」より,879
42941,イワンの馬鹿,361
43015,杜子春,879
785,門,148
605,モルグ街の殺人事件,94
206,小さき者へ,25
360,外科室,50
4814,燃ゆる頬,1030
1098,少女病,214
56866,春琴抄,1383
1508,若菜集,158
5020,源氏物語,52
45224,雁,129
236,ア、秋,35
2569,ああ華族様だよ　と私は嘘を吐くのであった,20
459,双子の星,81
411,愛撫,74
16,秋,879
56143,それから,148
1737,李陵,119
42614,夜長姫と耳男,1095
2386,農民芸術概論綱要,81
42307,若草物語,1090
782,明暗,148
464,猫の事務所,81
54372,赤い蝋燭と人魚,1475
42927,耳無芳一の話,258
2288,葉,35
387,にごりえ,64
1276,茶の本,1347
1276,茶の本,238
775,行人,148
4872,愛読書の印象,879
1935,ポラーノの広場,81
943,幽霊塔,179
617,悟浄歎異,119
4618,神曲,961
3804,悪魔,879
673,阿部一族,129
758,永日小品,148
201,或る女,25
13217,真珠夫人,83
46340,ファラデーの伝,1234
919,いなか、の、じけん,96
1768,青猫,67
42376,葉桜と魔笛,35
42692,次郎物語,1097
43289,五重塔,51
1927,注文の多い料理店,81
783,道草,148
1788,純情小曲集,67
49192,この子を残して,924
2259,海潮音,235
40,歯車,879
882,アッシャー家の崩壊,94
622,文字禍,119
44904,フランケンシュタイン,1176
2302,蠅,168
140,猿蟹合戦,879
386,十三夜,64
18378,舌切りすずめ,329
1111,生まれいずる悩み,25
3375,大宇宙遠征隊,160
15,アグニの神,879
1706,小説　不如帰,280
790,吾輩ハ猫デアル,148
2510,日本人の自然観,42
2257,黄金風景,35
46187,奇巌城,1121
5019,源氏物語,52
42600,レ・ミゼラブル,1094
47148,『吾輩は猫である』上篇自序,148
42312,おおかみと七ひきのこどもやぎ,1092
42312,おおかみと七ひきのこどもやぎ,1091
1071,寒山拾得,129
1543,般若心経講義,269
641,猫町,67
1571,きりぎりす,35
4306,形,83
50326,雪女,258
43753,狼森と笊森、盗森,81
11,秋の瞳,13
43017,蜜柑,879
42625,日本文化私観,1095
42773,ロミオとヂュリエット,264
3626,盲腸,168
43014,アグニの神,879
44909,アイヌ神謡集,1529
815,悲しき玩具,153
3585,ああ玉杯に花うけて,575
95,魔術,879
4398,死者の書,933
760,硝子戸の中,148
765,彼岸過迄,148
933,猟奇歌,96
1577,正義と微笑,35
1084,如是我聞,35
50131,アーサー王物語,140
45381,母を尋ねて三千里,1048
46322,銀河鉄道の夜,81
1668,田舎教師,214
255,道化の華,35
43074,アインシュタイン,42
545,夫婦善哉,40
419,Ｋの昇天,74
623,山月記,119
2231,キチガイ地獄,96
46376,智恵子の半生,1168
57228,怪人二十面相,1779
50618,快走,76
20,或旧友へ送る手記,879
3065,天守物語,50
1330,単独行,245
1751,正岡子規,148
42767,無人島に生きる十六人,1120
52409,三国志,1562
4668,津浪と人間,42
42383,人魚のひいさま,19
1760,ルバイヤート,288
122,或日の大石内蔵助,879
42945,ダス・ゲマイネ,35
4881,小公女,1045
1755,絶対矛盾的自己同一,182
43122,アラビヤンナイト,83
45649,放浪記（初出）,291
1572,I can speak,35
1563,魚服記,35
42936,狂人日記,1124
58093,痴人の愛,1383
68,神神の微笑,879
234,二十世紀旗手,35
1503,千曲川のスケッチ,158
43537,病牀六尺,305
52421,私本太平記,1562
3407,夜叉ヶ池,50
1738,弟子,119
4850,邪宗門,106
52410,三国志,1562
42877,青鬼の褌を洗う女,1095
56647,二銭銅貨,1779
43138,織田信長,1095
5,あいびき,5
42883,阿部定さんの印象,1095
51307,みだれ髪,885
1726,大菩薩峠,283
47296,ランボオ詩集,1296
1076,倫敦塔,148
1897,墨汁一滴,305
46820,植物一日一題,1266
204,カインの末裔,25
129,或恋愛小説,879
3814,かちかち山,879
43522,空家の冒険,9
843,新生,158
2317,待つ,35
242,美少女,35
774,坑夫,148
42316,星の銀貨,1092
42316,星の銀貨,1091
43117,青ひげ,1134
49,奉教人の死,879
2289,バルタザアル,879
44,春の心臓,879
163,煙草と悪魔,879
2521,悟浄出世,119
2255,右大臣実朝,35
4376,即興詩人,19
2525,黄金虫,94
1578,愛と美について,35
946,善の研究,182
43123,アラビヤンナイト,83
169,トロツコ,879
42313,かえるの王様,1092
42313,かえるの王様,1091
42928,貉,258
753,文鳥,148
767,人生,148
546,まざあ・ぐうす,1529
5082,万葉秀歌,1059
130,六の宮の姫君,879
3586,草迷宮,50
1743,光と風と夢,119
2058,渋江抽斎,129
18353,貧乏物語,250
2547,堺事件,129
4963,原爆詩集,1053
56642,陰翳礼讃,1383
42338,盗まれた手紙,94
442,慈悲,76
49966,チベット旅行記,1404
1745,土,118
687,最後の一句,129
48310,竹取物語,1072
42900,戦争と一人の女,1095
5024,源氏物語,52
42809,探偵小説アルセーヌ・ルパン,1121
49891,古寺巡礼,1395
1144,惜みなく愛は奪う,25
627,赤い蝋燭,121
72,枯野抄,879
42358,「晩年」に就いて,35
105,南京の基督,879
4421,蛙のゴム靴,81
4417,イギリス海岸,81
4880,フランダースの犬,1044
2533,歌よみに与ふる書,305
42314,ブレーメンの町楽隊,1092
42314,ブレーメンの町楽隊,1091
1574,思ひ出,35
1087,婦系図,50
43023,哲学入門,218
4683,猫の広告文,148
729,さようなら,126
2380,死後の恋,96
12,悪魔の舌,14
1919,黄いろのトマト,81
792,思い出す事など,148
907,機械,168
1412,出家とその弟子,256
28,舞踏会,879
43756,月夜のでんしんばしら,81
2423,お月さまいくつ,106
52016,濹東綺譚,1341
52395,宮本武蔵,1562
42696,学位について,42
502,父帰る,83
42377,歯車,879
46349,檸檬,74
1821,夏の花,293
4270,支那人の食人肉風習,372
798,手紙,148
90,好色,879
2509,天災と国防,42
1684,柿の種,42
2256,姥捨,35
43172,安吾巷談,1095
423,交尾,74
519,後世への最大遺物,34
2557,晶子詩篇全集,885
759,現代日本の開化,148
136,西郷隆盛,879
43736,『注文の多い料理店』序,81
4797,人形の家,1028
3110,フロレンス・ナイチンゲールの生涯,311
1312,修禅寺物語,82
46511,一片の石,1245
43291,省察,1029
50909,ファウスト,1025
817,詩,153
178,芥川竜之介歌集,879
1086,一夜,148
4688,『心』自序,148
114,女体,879
49986,だしの取り方,1403
253,十二月八日,35
59231,レオナルド・ダ・ヴインチの手記,879
388,大つごもり,64
43124,ジャックと豆の木,329
47027,春と修羅　第二集,81
43119,眠る森のお姫さま,1134
5056,源氏物語,52
4769,原爆小景,293
56,犬と笛,879
1604,小説の面白さ,35
2128,江戸川乱歩氏に対する私の感想,96
24436,最古日本の女性生活の根柢,933
42851,恋愛論,1095
33195,ペンネンネンネンネン・ネネムの伝記,81
5017,源氏物語,52
526,十二支考,93
2522,青年,129
149,白,879
123,大川の水,879
22,羅生門の後に,879
42926,葬られたる秘密,258
61,地獄変,879
4826,霊訓,1034
50718,瀕死の探偵,1465
50327,ろくろ首,258
1040,愛と婚姻,50
44913,行乞記,146
1813,新版　放浪記,291
18352,藤村詩抄,158
33206,宝島,888
833,党生活者,156
31,偸盗,879
1925,どんぐりと山猫,81
46711,ビール会社征伐,96
42864,教祖の文学,1095
2382,悪魔祈祷書,96
57302,フランダースの犬,1839
50351,五重塔,51
18334,猿かに合戦,329
45244,最後の一句,129
4996,愛,76
46827,瘠我慢の説,1264
46827,瘠我慢の説,354
46827,瘠我慢の説,296
45748,もう軍備はいらない,1095
38,戯作三昧,879
42310,ルンペルシュチルツヒェン,1092
42310,ルンペルシュチルツヒェン,1091
43839,人体解剖を看るの記,160
904,春は馬車に乗って,168
15937,「平家物語」ぬきほ（言文一致訳）,1529
2363,茶わんの湯,42
4621,関東防空大演習を嗤う,535
458,ひかりの素足,81
2269,新釈諸国噺,35
42386,醜い家鴨の子,19
52396,宮本武蔵,1562
1576,新ハムレット,35
46658,スリーピー・ホローの伝説,1257
1569,東京八景,35
4416,台川,81
2138,創作人物の名前について,96
59,邪宗門,879
1066,一兵卒,214
50530,武士道の山,718
43403,デンデンムシノ　カナシミ,121
45201,特攻隊に捧ぐ,1095
56698,細雪,1383
43837,ある自殺者の手記,903
1150,宇宙の始まり,226
4805,菜穂子,1030
676,百物語,129
240,あさましきもの,35
2415,思ひ出,106
45460,足跡,153
3587,歌行灯,50
1016,鮨,76
1367,真田幸村,83
46734,教育の目的,296
4993,真夏の夢,25
21,浅草公園,879
939,東京人の堕落時代,969
939,東京人の堕落時代,96
4602,蜘蛛となめくじと狸,81
46231,裸婦,124
2084,伊沢蘭軒,129
43598,桜の園,1155
42606,レ・ミゼラブル,1094
57321,朝に想い、夜に省みる,1843
267,皮膚と心,35
632,狐,121
49658,日和下駄,1341
749,草木塔,146
791,野分,148
50019,フランス料理について,1403
542,貧しき信徒,13
43,手巾,879
2314,イズムの功過,148
45567,南国太平記,216
49863,審判,1235
1388,志賀直哉氏の作品,83
1564,満願,35
45863,島原の乱雑記,1095
43702,二都物語,914
43118,猫吉親方,1134
42379,しっかり者のすずの兵隊,19
52291,ある神主の話,154
43075,アインシュタインの教育観,42
26,文芸的な、余りに文芸的な,879
42919,二流の人,1095
1704,みみずのたはこと,279
1704,みみずのたはこと,280
1942,貝の火,81
4854,桃の雫,158
2246,旅愁,168
398,いのちの初夜,997
15938,元禄時代小説第一巻「本朝二十不孝」ぬきほ（言文一致訳）,1216
1758,青い眼の人形,286
147,蜃気楼,879
46686,物理学の要用,296
930,押絵の奇蹟,96
2298,大塩平八郎,129
1450,鼠頭魚釣り,51
43204,明治開化　安吾捕物,1095
5027,源氏物語,52
751,二百十日,148
53503,蜜のあわれ,1579
46191,大勢順応,354
49989,握り寿司の名人,1403
46822,ジャン・クリストフ,1093
1046,カーライル博物館,148
45257,アメリカ独立宣言,1189
49549,拷問の話,82
42840,不良少年とキリスト,1095
49862,城,1235
50346,透明人間,1430
56645,押絵と旅する男,1779
46684,学問の独立,296
17,あの頃の自分の事,879
2275,清貧譚,35
48130,遺教,1320
43056,臨時急行列車の紛失,9
2523,ウィリアム・ウィルスン,94
42619,続堕落論,1095
1073,琴のそら音,148
1579,猿ヶ島,35
47029,詩ノート,81
47885,遺訓,1320
4410,虔十公園林,81
2277,惜別,35
44919,文学のふるさと,1095
304,女の決闘,35
43276,妾の半生涯,57
